Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-4.5523E-05,0.14559,-0.13975,0,0,0,5.4656,0.012713,3.0137E-07,-0.00011104,0.073389,-1.185E-06,0.068413,0,0,0,0,0,0,package://prototype_urdf/meshes/base_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://prototype_urdf/meshes/base_link.STL,,prototype_base_urdf-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
suspension_front_left,-0.022238,0.0053253,0.057836,0,0,0,0.092965,7.8332E-06,2.4021E-09,2.0772E-08,1.8337E-05,-7.1449E-07,1.2259E-05,0,0,0,0,0,0,package://prototype_urdf/meshes/suspension_front_left.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://prototype_urdf/meshes/suspension_front_left.STL,,suspension-3,Origin_suspension_front_left,,suspension_front_left,prismatic,-0.16517,0.20237,0.13322,1.6863,-1.1874,-0.0018512,base_link,0,0,0,1000,1000,-0.04,0,,,0,0,,,,
wheel_front_left,1.4086E-06,-0.087061,-3.1501E-05,0,0,0,0.0005833,8.6958E-07,1.2157E-11,-1.9549E-11,1.6137E-06,-2.7388E-10,8.6989E-07,0,0,0,0,0,0,package://prototype_urdf/meshes/wheel_front_left.STL,1,0,0,1,0,0,0,0,0,0,package://prototype_urdf/meshes/wheel_front_left.STL,,Wheel-3,Origin_wheel_front_left,Axis_wheel_front_left,wheel_front_left,continuous,-0.053094,-0.014583,0.060145,2.8335,1.2107,0.096305,suspension_front_left,0,1,0,3.1,7,,,,,,,,,,
suspension_front_right,-0.022238,0.0053253,0.057836,0,0,0,0.092965,7.8332E-06,2.402E-09,2.0772E-08,1.8337E-05,-7.1449E-07,1.2259E-05,0,0,0,0,0,0,package://prototype_urdf/meshes/suspension_front_right.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://prototype_urdf/meshes/suspension_front_right.STL,,suspension-1,Origin_suspension_front_right,,suspension_front_right,prismatic,0.16284,0.20176,0.1322,-1.4553,-1.1874,3.1397,base_link,0,0,0,1000,1000,-0.04,0,,,0,0,,,,
wheel_front_right,1.4086E-06,-0.089608,-3.1501E-05,0,0,0,0.0005833,8.6958E-07,1.2157E-11,-1.9549E-11,1.6137E-06,-2.7388E-10,8.6989E-07,0,0,0,0,0,0,package://prototype_urdf/meshes/wheel_front_right.STL,1,0,0,1,0,0,0,0,0,0,package://prototype_urdf/meshes/wheel_front_right.STL,,Wheel-2,Origin_wheel_front_right,Axis_wheel_front_right,wheel_front_right,continuous,-0.052142,0.02758,0.055255,-2.888,-1.1309,2.5256,suspension_front_right,0,1,0,3.1,7,,,,,,,,,,
suspension_back_left,-0.022237,0.0053253,0.057836,0,0,0,0.092965,7.8332E-06,2.4021E-09,2.0772E-08,1.8337E-05,-7.1449E-07,1.2259E-05,0,0,0,0,0,0,package://prototype_urdf/meshes/suspension_back_left.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://prototype_urdf/meshes/suspension_back_left.STL,,suspension-4,Origin_suspension_back_left,,suspension_back_left,prismatic,-0.16528,-0.076934,0.13322,1.6863,-1.1874,0,base_link,0,0,0,1000,1000,-0.04,0,,,0,0,,,,
wheel_back_left,1.4086E-06,-0.087061,-3.1501E-05,0,0,0,0.0005833,8.6958E-07,1.2157E-11,-1.9549E-11,1.6137E-06,-2.7388E-10,8.6989E-07,0,0,0,0,0,0,package://prototype_urdf/meshes/wheel_back_left.STL,1,0,0,1,0,0,0,0,0,0,package://prototype_urdf/meshes/wheel_back_left.STL,,Wheel-4,Origin_wheel_back_left,Axis_wheel_back_left,wheel_back_left,continuous,-0.053094,-0.014583,0.060145,0.10707,-0.017512,-2.7578,suspension_back_left,0,1,0,3.1,7,,,,,,,,,,
suspension_back_right,-4.5523E-05,0.14559,-0.13975,0,0,0,5.4656,0.012713,3.0137E-07,-0.00011104,0.073389,-1.185E-06,0.068413,0,0,0,0,0,0,package://prototype_urdf/meshes/suspension_back_right.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://prototype_urdf/meshes/suspension_back_right.STL,,suspension-2,Origin_suspension_back_right,,suspension_back_right,prismatic,0.16273,-0.076934,0.1322,-1.4553,-1.1874,3.1416,base_link,0,0,0,1000,1000,-0.04,0,,,0,0,,,,
wheel_back_right,1.4086E-06,-0.089579,-3.1501E-05,0,0,0,0.0005833,8.6958E-07,1.2157E-11,-1.9549E-11,1.6137E-06,-2.7388E-10,8.6989E-07,0,0,0,0,0,0,package://prototype_urdf/meshes/wheel_back_right.STL,1,0,0,1,0,0,0,0,0,0,package://prototype_urdf/meshes/wheel_back_right.STL,,Wheel-1,Origin_wheel_back_right,Axis_wheel_back_right,wheel_back_right,continuous,-0.052153,0.027553,0.055258,-0.10715,-0.043108,-0.38107,suspension_back_right,0,1,0,3.1,7,,,,,,,,,,
